Flight No.,Launch site,Payload,Payload mass,Orbit,Customer,Launch outcome,Version Booster,Booster landing,Date,Time
141,CCSFS,Starlink,"~13,600 kg",LEO,SpaceX,"Success
",F9 B5,Success,21 February 2022,14:44
142,VSFB,Starlink,"~14,750 kg",LEO,SpaceX,"Success
",F9 B5,Success,25 February 2022,17:12
143,KSC,Starlink,"~13,900 kg",LEO,SpaceX,"Success
",F9 B5,Success,3 March 2022,14:25
144,CCSFS,Starlink,"~14,160 kg",LEO,SpaceX,"Success
",F9 B5B1052.4,Success,9 March 2022,13:45
145,CCSFS,Starlink,"~16,250 kg",LEO,SpaceX,"Success
",F9 B5,Success,19 March 2022,04:42
146,CCSFS,,U,SSO,Various,"Success
",F9 B5,Success,1 April 2022,16:24
147,KSC,Axiom-1,"~13,000 kg",LEO,Axiom Space,"Success
",F9 B5,Success,8 April 2022,[305]
148,VSFB,NROL-85,C,LEO,NRO,Success,F9 B5,Success,17 April 2022,[308]
149,CCSFS,Starlink Group 4-14,"~16,250 kg",LEO,SpaceX,"Success
",F9 B5,Success,21 April 2022,17:51
150,KSC,Crew-4,"~13,000 kg",LEO,NASA (CTS)[18],"Success
",F9 B5B1067.4,Success,27 April 2022,07:52
151,CCSFS,Starlink Group 4-16,"~16,250 kg",LEO,SpaceX,"Success
",F9 B5,Success,29 April 2022,21:27
152,KSC,Starlink Group 4-17,"~16,250 kg",LEO,SpaceX,"Success
",F9 B5,Success,6 May 2022,09:46
153,VSFB,Starlink Group 4-13,"~16,250 kg",LEO,SpaceX,"Success
",F9 B5,Success,13 May 2022,22:07
154,CCSFS,Starlink Group 4-15,"~16,250 kg",LEO,SpaceX,"Success
",F9 B5,Success,14 May 2022,20:40
155,KSC,Starlink Group 4-18,"~16,250 kg",LEO,SpaceX,"Success
",F9 B5,Success,18 May 2022,10:59
156,CCSFS,,U,SSO,Various,"Success
",F9 B5B1061.8,Success,25 May 2022,18:35
157,CCSFS,[329],"~4,100 kg",GTO,Nilesat,"Success
",F9 B5B1062.7,Success,8 June 2022,21:03
158,KSC,Starlink Group 4-19,"~16,250 kg",LEO,SpaceX,"Success
",F9 B5B1060.13,Success,17 June 2022,16:09
159,VSFB,SARah 1,"~4,000 kg",SSO,German Intelligence Service,Success,F9 B5,Success,18 June 2022,[333]
160,CCSFS,Globalstar-2 M087 (FM15),~700 kg,LEO,GlobalstarUnknown US Government Agency,"Success
",F9 B5B1061.9,Success,19 June 2022,04:27
161,CCSFS,SES-22,"~3,500 kg",GTO,SES,"Success
",F9 B5B1073.2,Success,29 June 2022,21:04
162,CCSFS,Starlink Group 4-21,"~16,250 kg",LEO,SpaceX,"Success
",F9 B5B1058.13,Success,7 July 2022,13:11
163,VSFB,Starlink Group 3-1,"~14,100 kg",SSO,SpaceX,"Success
",F9 B5,Success,11 July 2022,01:39
164,KSC,SpaceX CRS-25,"2,668 kg",LEO,NASA (CRS),"Success
",F9 B5,Success,15 July 2022,00:44:22
165,CCSFS,Starlink Group 4-22,"~16,250 kg",LEO,SpaceX,"Success
",F9 B5B1051.13,Success,17 July 2022,14:20
166,VSFB,Starlink Group 3-2,"~14,100 kg",SSO,SpaceX,"Success
",F9 B5,Success,22 July 2022,17:39
167,KSC,Starlink Group 4-25,"~16,250 kg",LEO,SpaceX,"Success
",F9 B5,Success,24 July 2022,13:38
168,CCSFS,Danuri (Korea Pathfinder Lunar Orbiter),~679 kg,Ballistic lunar transfer (BLT),KARI,"Success
",F9 B5,Success,4 August 2022,23:08
169,KSC,Starlink Group 4-26,"~16,000 kg",LEO,SpaceX,"Success
",F9 B5B1073.3,Success,10 August 2022,02:14
170,VSFB,Starlink Group 3-3,"~14,100 kg",SSO,SpaceX,"Success
",F9 B5,Success,12 August 2022,[368]
171,CCSFS,Starlink Group 4-27,"~16,250 kg",LEO,SpaceX,"Success
",F9 B5,Success,19 August 2022,19:21:20
172,CCSFS,Starlink Group 4-23,"~16,700 kg",LEO,SpaceX,"Success
",F9 B5B1069.2,Success,28 August 2022,03:41
